countryiso3,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
ZWE,109,29542.842077232308,162972.61929390774,35.19870433180783,476.7159816347506,0.0195,5.516484123899012
EGY,61,147.89023840507022,642.8859922628125,16.877633673100217,282.51677779874075,0.97,4.347048183815572
PSE,120,358.27980006654445,1546.8187768139205,10.382526031537708,181.5355076828641,2.2375,4.317348554193189
ECU,120,274.20792240273005,1158.8485610285757,13.408715559674475,228.62401376935983,1.06,4.2261673217689575
MEX,77,243.9570773938638,958.6851364397754,51.2016728125058,433.38218337615,0.98,3.9297287321244525
TZA,119,453.4474451922629,1668.9315307897768,44.29352879577234,498.6703330942206,1.14,3.6805401562735582
LKA,110,135.14733329746366,468.3373787143369,429.02083466443537,4123.263294553887,0.81,3.4653837947620554
ETH,119,219.2388572877483,748.7033968506602,31.926376618460356,538.3055436073145,3.86,3.415012311745432
GHA,91,151.91047867763456,501.9626036678361,226.9486656445849,1037.9857388849985,1.96,3.304331656626785
BGD,122,657.2795522982999,1835.218566291508,107.50274850475613,712.0406862836926,0.8458333333333333,2.7921430993468848
MOZ,106,178.03589280922247,469.32512242255183,4.277821245750255,75.31635127858328,0.93,2.636126429435583
BEN,101,128.50808845011034,334.6016702259494,5.121401843491641,174.7145789325081,0.73,2.603740155670039
MRT,122,170.19013917638136,433.0529520418957,2.904309003778963,37.416440238064396,0.97,2.5445243428180584
ZMB,107,427.65736971733554,1086.30544028598,10.681113589671018,159.72730135412647,1.22,2.540130294034181
DZA,54,160.42607505777536,404.48766896173413,19.307138291163255,326.4768754377206,1.58,2.521333697256279
NGA,123,147.43133461896423,368.25517697924755,103.85252643968262,802.3927110606744,1.57,2.4978080672673943
GTM,73,444.6150984199438,1101.6838794461892,41.03637246196477,440.00791500498866,16.805,2.47783730998185
SOM,120,275.80075189250715,672.200617627821,4.147123526986502,39.96120452181403,45.27,2.4372689813761275
DOM,80,804.8529003317565,1954.8273325576743,580.9761287527972,1813.2219446970432,19.83,2.4288007557056748
DJI,115,133.91844136317206,321.9569453938868,28.49115248725136,323.5443960472133,0.84,2.4041270352062645
KEN,119,235.4380276767654,564.0888821641787,28.004738413021787,281.7828403732589,1.02,2.3959123669631675
SLV,78,826.388961741347,1886.617718539942,478.12527842606124,1502.935074696497,9.54,2.282965777476633
BOL,121,133.07375601782417,296.8855976660339,16.043950308185345,230.12030346214553,1.28,2.2309853313696837
YEM,120,232.74706178101414,500.9925497128605,26.82113707823357,346.74095440031203,1.918333333333333,2.152519330981853
CMR,121,128.5551502725463,249.15486764490188,43.94119577382793,411.0207350145642,1.36,1.938116575778375
MDG,105,138.17196324217596,263.82982157652634,17.07690745382667,285.84107082650905,0.65,1.9094309394309472
TCD,104,122.23091233971883,233.3729400110294,10.722127510151328,324.2485264139739,0.6,1.9092792121391626
BTN,60,134.8621109963946,252.31280569535716,22.001234008881674,187.07424168489396,0.8025,1.8708946777653694
CIV,122,120.34712978997055,223.56819723132597,6.361341097961168,161.04665179539325,0.91,1.8576944678406249
RWA,122,96.6661781780897,171.97978580225424,5.756255150095954,173.94655910453648,0.54,1.779110222868365
PAN,78,1253.1179581656702,2225.1617896917933,598.3818921618374,1798.8669962342983,22.08,1.7757001846410476
IND,120,118.00031448625113,203.20680696876576,2.72318035693117,112.54899013364862,0.95,1.722086994882056
TLS,98,104.02478816026515,161.0888751391756,3.321450002474364,62.197970762619754,1.07,1.5485623954455454
COD,118,115.97733843407757,171.50305514197726,9.190420922019632,132.36375231806264,1.01,1.478763502056576
HTI,107,220.32360604573944,325.3179219766682,2.709545914034926,27.70747264128229,3.7350000000000003,1.4765459217707784
BDI,122,129.4874364560734,176.09780221933,3.3672814052966764,80.32572492128196,0.69,1.3599605262018484
IRQ,123,98.98220625982158,132.928940139438,1.2676713190784068,28.25971138652185,1.34,1.3429579432742542
LBN,120,240.6477922536344,321.5659534145654,23.224694537472722,309.19641008501964,2.4925,1.3362514170736546
PER,78,122.61513570328967,156.2708163419011,4.582089309593775,65.67353409709587,0.86,1.2744822688126625
SSD,122,154.96776305158946,195.69470732342472,9.192328524538093,88.03506982982155,2.6,1.2628091382997966
VNM,56,132.4404761904762,146.53574763453494,8.182663060754672,57.77502641206281,0.36,1.1064272180944659
